equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros,puntos_ranking_liga,fase_inicio,fase_termino
Cruzeiro Esporte Clube,2019,Brasil,54.18,1.204,23.9,45,4,1165.0,Fase de Grupos,Octavos de Final
Bolívar La Paz,2019,Bolivia,6.38,0.319,26.7,20,7,433.0,Fase 1,Fase 1
CD Palestino,2019,Chile,10.03,0.2710810810810811,23.7,37,9,361.5,Fase 2,Fase de Grupos
Delfín SC,2019,Ecuador,11.2,0.38620689655172413,25.2,29,4,686.0,Fase 1,Fase 2
The Strongest La Paz,2019,Bolivia,4.65,0.2021739130434783,27.0,23,6,433.0,Fase 2,Fase 2
Club Sporting Cristal,2019,Perú,11.43,0.28575,22.1,40,5,383.0,Fase de Grupos,Fase de Grupos
Club Nacional Asunción,2019,Paraguay,5.65,0.12555555555555556,23.3,45,6,755.5,Fase 1,Fase 1
Club Alianza Lima,2019,Perú,13.7,0.4029411764705882,24.4,34,8,383.0,Fase de Grupos,Fase de Grupos
FBC Melgar,2019,Perú,12.63,0.3323684210526316,23.2,38,6,383.0,Fase 2,Fase de Grupos
Club Jorge Wilstermann ,2019,Bolivia,4.4,0.16296296296296298,26.9,27,6,433.0,Fase de Grupos,Fase de Grupos
Caracas FC,2019,Venezuela,10.08,0.2057142857142857,22.6,49,6,425.0,Fase 2,Fase 3
Cusco FC,2019,Perú,9.85,0.29848484848484846,26.1,33,7,383.0,Fase 1,Fase 1
Danubio FC,2019,Uruguay,6.85,0.15568181818181817,21.8,44,1,447.0,Fase 2,Fase 2
Defensor Sporting Club,2019,Uruguay,8.18,0.20974358974358973,23.0,39,2,447.0,Fase 1,Fase 3
Deportivo La Guaira,2019,Venezuela,10.6,0.18596491228070175,23.0,57,9,425.0,Fase 1,Fase 2
Universidad Concepción,2019,Chile,11.03,0.3151428571428571,25.5,35,11,361.5,Fase de Grupos,Fase de Grupos
Deportivo Lara,2019,Venezuela,10.65,0.17459016393442622,23.4,61,8,425.0,Fase de Grupos,Fase de Grupos
Zamora FC,2019,Venezuela,8.85,0.177,22.5,50,6,425.0,Fase de Grupos,Fase de Grupos
Club Deportivo San José Oruro,2019,Bolivia,4.03,0.1612,29.0,25,5,433.0,Fase de Grupos,Fase de Grupos
Clube de Regatas do Flamengo,2018,Brasil,122.13,2.544375,23.7,48,7,1043.0,Fase de Grupos,Octavos de Final
Sociedade Esportiva Palmeiras,2018,Brasil,92.43,1.9256250000000001,24.6,48,4,1043.0,Fase de Grupos,Semifinales
Club Atlético River Plate,2018,Argentina,148.58,3.376818181818182,24.3,44,10,902.0,Fase de Grupos,Campeón
Club Atlético Boca Juniors,2018,Argentina,201.25,3.59375,23.8,56,11,902.0,Fase de Grupos,Final
Grêmio Foot-Ball Porto Alegrense,2018,Brasil,110.2,1.8677966101694916,24.4,59,2,1043.0,Fase de Grupos,Semifinales
Sport Club Corinthians Paulista,2018,Brasil,86.48,1.6014814814814815,24.2,54,6,1043.0,Fase de Grupos,Octavos de Final
Santos FC,2018,Brasil,71.3,1.55,23.0,46,5,1043.0,Fase de Grupos,Octavos de Final
Club Atlético Independiente,2018,Argentina,107.65,2.290425531914894,24.9,47,9,902.0,Fase de Grupos,Cuartos de Final
Racing Club,2018,Argentina,79.23,1.5846,25.2,50,9,902.0,Fase de Grupos,Octavos de Final
Club Libertad Asunción,2018,Paraguay,7.9,0.26333333333333336,27.4,30,3,697.0,Fase de Grupos,Octavos de Final
Club Estudiantes de La Plata,2018,Argentina,32.0,0.6808510638297872,24.1,47,5,902.0,Fase de Grupos,Octavos de Final
Club de Regatas Vasco da Gama,2018,Brasil,63.45,1.1536363636363638,23.9,55,7,1043.0,Fase 2,Fase de Grupos
Club Atlético Banfield,2018,Argentina,30.18,0.7545,24.2,40,5,902.0,Fase 2,Fase 3
Club Cerro Porteño,2018,Paraguay,12.15,0.43392857142857144,26.8,28,7,697.0,Fase de Grupos,Octavos de Final
Atlético Nacional,2018,Colombia,29.3,0.7325,24.0,40,5,1028.0,Fase de Grupos,Octavos de Final
CA Peñarol,2018,Uruguay,18.18,0.4545,24.0,40,4,456.0,Fase de Grupos,Fase de Grupos
Junior de Barranquilla,2018,Colombia,29.85,0.694186046511628,24.4,43,5,1028.0,Fase 2,Fase de Grupos
Club Olimpia Asunción,2018,Paraguay,12.38,0.5895238095238096,27.0,21,5,697.0,Fase 1,Fase 2
Club Nacional,2018,Uruguay,25.75,0.5988372093023255,24.7,43,6,456.0,Fase 2,Fase de Grupos
Independiente del Valle,2018,Ecuador,12.75,0.425,22.2,30,4,510.5,Fase 2,Fase 2
Millonarios FC,2018,Colombia,23.4,0.709090909090909,24.7,33,4,1028.0,Fase de Grupos,Fase de Grupos
CSD Colo Colo,2018,Chile,19.55,0.48875,23.6,40,10,314.0,Fase de Grupos,Cuartos de Final
Independiente Santa Fe,2018,Colombia,26.23,0.6902631578947368,26.3,38,5,1028.0,Fase 2,Fase de Grupos
Club Atlético Tucumán,2018,Argentina,21.9,0.5093023255813953,26.6,43,4,902.0,Fase de Grupos,Cuartos de Final
Universidad de Chile,2018,Chile,19.35,0.5528571428571429,25.5,35,7,314.0,Fase de Grupos,Fase de Grupos
CS Emelec,2018,Ecuador,23.9,0.6828571428571428,25.2,35,8,510.5,Fase de Grupos,Fase de Grupos
Associação Chapecoense de Futebol,2018,Brasil,30.75,0.5913461538461539,24.7,52,5,1043.0,Fase 2,Fase 2
Club Guaraní,2018,Paraguay,8.35,0.3976190476190476,25.5,21,4,697.0,Fase 2,Fase 3
Cruzeiro Esporte Clube,2018,Brasil,60.85,1.1931372549019608,24.0,51,6,1043.0,Fase de Grupos,Cuartos de Final
Bolívar La Paz,2018,Bolivia,7.53,0.2788888888888889,26.9,27,7,408.0,Fase de Grupos,Fase de Grupos
Delfín SC,2018,Ecuador,13.25,0.37857142857142856,25.6,35,7,510.5,Fase de Grupos,Fase de Grupos
The Strongest La Paz,2018,Bolivia,3.23,0.11137931034482759,25.2,29,5,408.0,Fase de Grupos,Fase de Grupos
Universitario de Deportes,2018,Perú,7.08,0.1726829268292683,22.9,41,5,354.0,Fase 1,Fase 1
Club Alianza Lima,2018,Perú,9.23,0.24945945945945946,23.6,37,5,354.0,Fase de Grupos,Fase de Grupos
FBC Melgar,2018,Perú,9.55,0.2273809523809524,23.5,42,6,354.0,Fase 2,Fase 2
Club Deportivo Oriente Petrolero,2018,Bolivia,2.88,0.1252173913043478,26.2,23,7,408.0,Fase 1,Fase 2
Club Jorge Wilstermann ,2018,Bolivia,3.0,0.13043478260869565,27.7,23,7,408.0,Fase 2,Fase 3
CD Macará,2018,Ecuador,11.05,0.35645161290322586,24.3,31,6,510.5,Fase 1,Fase 1
Montevideo Wanderers,2018,Uruguay,7.75,0.2421875,22.8,32,1,456.0,Fase 1,Fase 1
Cusco FC,2018,Perú,10.35,0.2464285714285714,25.8,42,7,354.0,Fase de Grupos,Fase de Grupos
Santiago Wanderers,2018,Chile,7.35,0.22272727272727272,24.3,33,6,314.0,Fase 2,Fase 3
Deportivo Táchira,2018,Venezuela,11.2,0.23829787234042552,22.7,47,6,356.0,Fase 1,Fase 2
Defensor Sporting Club,2018,Uruguay,11.23,0.3208571428571429,23.0,35,3,456.0,Fase de Grupos,Fase de Grupos
Monagas SC,2018,Venezuela,8.8,0.22000000000000003,23.5,40,6,356.0,Fase de Grupos,Fase de Grupos
Universidad Concepción,2018,Chile,11.55,0.29615384615384616,25.6,39,11,314.0,Fase 2,Fase 2
Deportivo Lara,2018,Venezuela,8.3,0.17659574468085107,23.0,47,5,356.0,Fase de Grupos,Fase de Grupos
Carabobo FC,2018,Venezuela,7.48,0.1968421052631579,22.8,38,5,356.0,Fase 2,Fase 2
Clube de Regatas do Flamengo,2017,Brasil,74.95,1.6655555555555557,24.2,45,7,1134.0,Fase de Grupos,Fase de Grupos
Sociedade Esportiva Palmeiras,2017,Brasil,78.0,1.7727272727272727,25.0,44,3,1134.0,Fase de Grupos,Octavos de Final
Club Atlético River Plate,2017,Argentina,107.65,2.3922222222222222,24.4,45,8,902.0,Fase de Grupos,Semifinales
Clube Atlético Mineiro,2017,Brasil,71.98,1.5314893617021277,24.4,47,3,1134.0,Fase de Grupos,Octavos de Final
Grêmio Foot-Ball Porto Alegrense,2017,Brasil,60.2,0.970967741935484,23.0,62,7,1134.0,Fase de Grupos,Campeón
Santos FC,2017,Brasil,68.05,1.4793478260869564,23.5,46,4,1134.0,Fase de Grupos,Cuartos de Final
Club Athletico Paranaense,2017,Brasil,46.0,0.9019607843137255,23.5,51,4,1134.0,Fase 2,Octavos de Final
Club Atlético Lanús,2017,Argentina,44.65,1.063095238095238,24.8,42,4,902.0,Fase de Grupos,Final
Club Libertad Asunción,2017,Paraguay,9.18,0.286875,25.1,32,2,721.5,Fase de Grupos,Fase de Grupos
Club Estudiantes de La Plata,2017,Argentina,30.4,0.8216216216216216,25.0,37,5,902.0,Fase de Grupos,Fase de Grupos
Club Atlético San Lorenzo de Almagro,2017,Argentina,48.95,1.2237500000000001,25.5,40,2,902.0,Fase de Grupos,Cuartos de Final
Club Deportivo Godoy Cruz Antonio Tomba,2017,Argentina,41.6,1.1555555555555557,22.8,36,7,902.0,Fase de Grupos,Octavos de Final
Atlético Nacional,2017,Colombia,38.75,0.7045454545454546,24.0,55,9,918.0,Fase de Grupos,Fase de Grupos
CA Peñarol,2017,Uruguay,36.83,0.6461403508771929,24.0,57,9,366.0,Fase de Grupos,Fase de Grupos
Botafogo de Futebol e Regatas,2017,Brasil,31.15,0.6107843137254901,23.4,51,5,1134.0,Fase 2,Cuartos de Final
Junior de Barranquilla,2017,Colombia,30.23,0.75575,25.6,40,4,918.0,Fase 2,Fase 3
CD Universidad Católica,2017,Chile,23.8,0.4666666666666667,23.9,51,10,310.0,Fase de Grupos,Fase de Grupos
Club Olimpia Asunción,2017,Paraguay,16.7,0.506060606060606,25.7,33,8,721.5,Fase 2,Fase 3
Club Nacional,2017,Uruguay,25.08,0.643076923076923,24.4,39,2,366.0,Fase de Grupos,Octavos de Final
Independiente del Valle,2017,Ecuador,16.95,0.5296875,22.6,32,4,640.0,Fase 1,Fase 2
Millonarios FC,2017,Colombia,20.15,0.6296875,25.3,32,5,918.0,Fase 2,Fase 2
Barcelona SC Guayaquil,2017,Ecuador,24.68,0.6328205128205128,23.4,39,4,640.0,Fase de Grupos,Semifinales
CSD Colo Colo,2017,Chile,23.6,0.44528301886792454,23.2,53,9,310.0,Fase 2,Fase 2
Independiente Santa Fe,2017,Colombia,27.13,0.7139473684210526,25.4,38,4,918.0,Fase de Grupos,Fase de Grupos
Club Atlético Tucumán,2017,Argentina,18.2,0.44390243902439025,26.8,41,5,902.0,Fase 2,Fase de Grupos
CS Emelec,2017,Ecuador,21.7,0.6027777777777777,24.4,36,6,640.0,Fase de Grupos,Octavos de Final
Independiente Medellín,2017,Colombia,25.65,0.7124999999999999,25.5,36,4,918.0,Fase de Grupos,Fase de Grupos
Associação Chapecoense de Futebol,2017,Brasil,35.15,0.6892156862745098,23.9,51,5,1134.0,Fase de Grupos,Fase de Grupos
Club Guaraní,2017,Paraguay,7.43,0.2396774193548387,27.0,31,5,721.5,Fase de Grupos,Octavos de Final
Unión Española,2017,Chile,12.8,0.29090909090909095,23.3,44,15,310.0,Fase 2,Fase 3
The Strongest La Paz,2017,Bolivia,3.95,0.1462962962962963,26.6,27,5,439.0,Fase 2,Octavos de Final
Club Sporting Cristal,2017,Perú,9.45,0.2779411764705882,23.2,34,7,325.0,Fase de Grupos,Fase de Grupos
Universitario de Deportes,2017,Perú,8.98,0.23631578947368423,23.7,38,5,325.0,Fase 2,Fase 2
FBC Melgar,2017,Perú,10.0,0.2631578947368421,24.3,38,5,325.0,Fase de Grupos,Fase de Grupos
Club Jorge Wilstermann ,2017,Bolivia,4.0,0.15384615384615385,28.3,26,10,439.0,Fase de Grupos,Cuartos de Final
Deportivo Municipal,2017,Perú,7.88,0.20736842105263156,22.5,38,7,325.0,Fase 1,Fase 1
Montevideo Wanderers,2017,Uruguay,9.95,0.2426829268292683,22.7,41,0,366.0,Fase 1,Fase 2
Deportivo Táchira,2017,Venezuela,12.8,0.23703703703703705,24.1,54,5,304.5,Fase 1,Fase 1
Club Deportes Iquique,2017,Chile,9.4,0.21363636363636365,23.7,44,6,310.0,Fase de Grupos,Fase de Grupos
Club Atlético Cerro,2017,Uruguay,12.55,0.23679245283018868,24.8,53,8,366.0,Fase 2,Fase 2
Zamora FC,2017,Venezuela,10.85,0.2411111111111111,23.0,45,7,304.5,Fase de Grupos,Fase de Grupos
Zulia FC,2017,Venezuela,8.23,0.18704545454545454,22.4,44,4,304.5,Fase de Grupos,Fase de Grupos
Carabobo FC,2017,Venezuela,7.63,0.18609756097560975,23.1,41,6,304.5,Fase 2,Fase 2
CD El Nacional,2017,Ecuador,9.75,0.2565789473684211,22.3,38,1,640.0,Fase 2,Fase 2
Club Universitario de Sucre,2017,Bolivia,0.675,0.037500000000000006,28.2,18,8,439.0,Fase 1,Fase 1
Deportivo Capiatá,2017,Paraguay,2.3,0.09999999999999999,29.7,23,0,721.5,Fase 1,Fase 3
Sport Boys Warnes,2017,Bolivia,4.7,0.18076923076923077,28.1,26,7,439.0,Fase de Grupos,Fase de Grupos
Sociedade Esportiva Palmeiras,2016,Brasil,77.1,1.7522727272727272,25.0,44,5,897.0,Fase de Grupos,Fase de Grupos
Club Atlético River Plate,2016,Argentina,98.75,2.0572916666666665,24.5,48,8,901.0,Fase de Grupos,Octavos de Final
Clube Atlético Mineiro,2016,Brasil,78.75,1.4858490566037736,23.4,53,5,897.0,Fase de Grupos,Cuartos de Final
Club Atlético Boca Juniors,2016,Argentina,86.43,2.4008333333333334,23.6,36,5,901.0,Fase de Grupos,Semifinales
Grêmio Foot-Ball Porto Alegrense,2016,Brasil,65.78,1.3424489795918368,22.9,49,3,897.0,Fase de Grupos,Octavos de Final
São Paulo Futebol Clube,2016,Brasil,92.68,1.9308333333333334,23.1,48,8,897.0,Fase 3,Semifinales
Sport Club Corinthians Paulista,2016,Brasil,66.55,1.5845238095238094,23.4,42,2,897.0,Fase de Grupos,Octavos de Final
Racing Club,2016,Argentina,66.53,1.1276271186440678,24.6,59,8,901.0,Fase 3,Octavos de Final
Deportivo Toluca FC,2016,México,32.6,0.8578947368421053,25.0,38,7,682.5,Fase de Grupos,Octavos de Final
Club Atlético San Lorenzo de Almagro,2016,Argentina,61.58,1.1196363636363635,24.8,55,5,901.0,Fase de Grupos,Fase de Grupos
Pumas UNAM ,2016,México,35.4,0.8232558139534883,23.7,43,11,682.5,Fase de Grupos,Cuartos de Final
Club Cerro Porteño,2016,Paraguay,18.2,0.52,25.4,35,4,621.5,Fase de Grupos,Octavos de Final
Atlético Nacional,2016,Colombia,30.08,0.5371428571428571,22.6,56,4,984.0,Fase de Grupos,Campeón
CA Peñarol,2016,Uruguay,29.4,0.6533333333333333,24.3,45,6,374.0,Fase de Grupos,Fase de Grupos
Club Atlético Rosario Central,2016,Argentina,47.83,0.9024528301886792,24.4,53,9,901.0,Fase de Grupos,Cuartos de Final
Club Puebla,2016,México,29.7,0.6456521739130434,26.1,46,11,682.5,Fase 3,Fase 3
Club Olimpia Asunción,2016,Paraguay,15.08,0.4864516129032258,25.2,31,2,621.5,Fase de Grupos,Fase de Grupos
Club Nacional,2016,Uruguay,24.13,0.6521621621621622,24.5,37,3,374.0,Fase de Grupos,Cuartos de Final
Independiente del Valle,2016,Ecuador,18.6,0.47692307692307695,20.6,39,3,556.0,Fase 3,Final
Club Atlético Huracán,2016,Argentina,19.88,0.4229787234042553,25.3,47,6,901.0,Fase 3,Octavos de Final
LDU Quito,2016,Ecuador,35.85,0.7966666666666667,25.3,45,9,556.0,Fase de Grupos,Fase de Grupos
CSD Colo Colo,2016,Chile,15.83,0.4796969696969697,24.5,33,10,362.5,Fase de Grupos,Fase de Grupos
Independiente Santa Fe,2016,Colombia,29.25,0.5131578947368421,23.9,57,9,984.0,Fase 3,Fase de Grupos
Atletico River Plate Montevideo,2016,Uruguay,19.7,0.46904761904761905,23.2,42,6,374.0,Fase 3,Fase de Grupos
Universidad de Chile,2016,Chile,26.5,0.5096153846153846,23.7,52,9,362.5,Fase 3,Fase 3
CS Emelec,2016,Ecuador,29.55,0.73875,25.6,40,9,556.0,Fase de Grupos,Fase de Grupos
Deportivo Cali,2016,Colombia,15.9,0.41842105263157897,22.6,38,5,984.0,Fase de Grupos,Fase de Grupos
Club Guaraní,2016,Paraguay,3.7,0.1761904761904762,27.0,21,4,621.5,Fase 3,Fase 3
Bolívar La Paz,2016,Bolivia,8.68,0.263030303030303,26.0,33,10,390.0,Fase de Grupos,Fase de Grupos
The Strongest La Paz,2016,Bolivia,4.08,0.19428571428571428,27.0,21,6,390.0,Fase de Grupos,Fase de Grupos
Club Sporting Cristal,2016,Perú,8.98,0.280625,23.2,32,4,340.0,Fase de Grupos,Fase de Grupos
FBC Melgar,2016,Perú,11.68,0.25955555555555554,24.4,45,10,340.0,Fase de Grupos,Fase de Grupos
Club Deportivo Oriente Petrolero,2016,Bolivia,4.3,0.1482758620689655,26.0,29,9,390.0,Fase 3,Fase 3
CD Cobresal,2016,Chile,8.03,0.22305555555555553,24.6,36,6,362.5,Fase de Grupos,Fase de Grupos
Caracas FC,2016,Venezuela,6.0,0.15,22.9,40,3,414.0,Fase 3,Fase 3
Universidad César Vallejo,2016,Perú,8.9,0.24722222222222223,24.5,36,4,340.0,Fase 3,Fase 3
Deportivo Táchira,2016,Venezuela,7.93,0.20333333333333334,23.3,39,4,414.0,Fase de Grupos,Octavos de Final
Trujillanos FC,2016,Venezuela,3.73,0.09564102564102564,23.5,39,5,414.0,Fase de Grupos,Fase de Grupos
Club Atlético River Plate,2015,Argentina,105.03,2.334,24.5,45,8,990.0,Fase de Grupos,Campeón
Clube Atlético Mineiro,2015,Brasil,72.85,1.7345238095238094,25.0,42,3,899.0,Fase de Grupos,Octavos de Final
Club Atlético Boca Juniors,2015,Argentina,87.7,2.3702702702702703,23.5,37,6,990.0,Fase de Grupos,Octavos de Final
São Paulo Futebol Clube,2015,Brasil,112.05,2.286734693877551,24.1,49,5,899.0,Fase de Grupos,Octavos de Final
Sport Club Corinthians Paulista,2015,Brasil,80.9,1.8386363636363638,23.9,44,5,899.0,Fase 3,Octavos de Final
Tigres UANL,2015,México,55.6,1.0901960784313727,24.3,51,13,595.5,Fase de Grupos,Final
Sport Club Internacional,2015,Brasil,83.0,1.509090909090909,23.5,55,5,899.0,Fase de Grupos,Semifinales
Atlas Guadalajara,2015,México,34.4,0.819047619047619,25.8,42,11,595.5,Fase de Grupos,Fase de Grupos
