equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros,puntos_ranking_liga,fase_inicio,fase_termino
Mushuc Runa SC,2019,Ecuador,7.38,0.164,25.8,45,9,686.0,Fase 1,Fase 1
Caracas FC,2019,Venezuela,10.08,0.2057142857142857,22.6,49,6,425.0,Fase 2,Octavos de Final
Deportivo Binacional,2019,Perú,5.95,0.19833333333333333,26.0,30,7,383.0,Fase 1,Fase 1
Universidad Técnica de Cajamarca,2019,Perú,5.95,0.22037037037037038,25.4,27,7,383.0,Fase 1,Fase 1
CA Nacional Potosí,2019,Bolivia,2.23,0.09695652173913043,26.4,23,6,433.0,Fase 1,Fase 1
Monagas SC,2019,Venezuela,11.1,0.17903225806451611,22.1,62,10,425.0,Fase 1,Fase 1
Deportivo Lara,2019,Venezuela,10.65,0.17459016393442622,23.4,61,8,425.0,Fase 2,Fase 2
Club Atlético Cerro,2019,Uruguay,5.75,0.1597222222222222,24.1,36,2,447.0,Fase 1,Fase 2
Estudiantes de Mérida,2019,Venezuela,5.48,0.15222222222222223,24.2,36,5,425.0,Fase 1,Fase 1
Mineros de Guayana,2019,Venezuela,6.95,0.16951219512195123,24.2,41,5,425.0,Fase 1,Fase 1
Zulia FC,2019,Venezuela,4.63,0.1361764705882353,21.8,34,4,425.0,Fase 1,Cuartos de Final
CD Santaní,2019,Paraguay,3.98,0.0796,24.0,50,9,755.5,Fase 1,Fase 2
Independiente FBC,2019,Paraguay,0.3,0.013043478260869565,24.4,23,1,755.5,Fase 1,Fase 1
Clube Atlético Mineiro,2018,Brasil,59.55,1.1451923076923076,23.0,52,6,1043.0,Fase 1,Fase 1
São Paulo Futebol Clube,2018,Brasil,78.0,1.56,23.0,50,5,1043.0,Fase 1,Fase 2
Club Athletico Paranaense,2018,Brasil,40.7,0.7826923076923078,23.9,52,3,1043.0,Fase 1,Campeón
Club Atlético Lanús,2018,Argentina,53.73,1.1431914893617021,23.9,47,6,902.0,Fase 1,Fase 2
Fluminense Football Club,2018,Brasil,37.73,0.6505172413793103,22.4,58,4,1043.0,Fase 1,Semifinales
Club Atlético Colón,2018,Argentina,43.58,0.9272340425531914,25.1,47,8,902.0,Fase 1,Octavos de Final
Club de Regatas Vasco da Gama,2018,Brasil,63.45,1.1536363636363638,23.9,55,7,1043.0,Fase 2,Fase 2
Club Atlético San Lorenzo de Almagro,2018,Argentina,65.33,1.1666071428571427,24.1,56,6,902.0,Fase 1,Octavos de Final
Defensa y Justicia,2018,Argentina,59.83,1.1288679245283018,24.8,53,8,902.0,Fase 1,Cuartos de Final
Club Atlético Newell's Old Boys,2018,Argentina,23.9,0.478,24.2,50,7,902.0,Fase 1,Fase 1
Club Atlético Banfield,2018,Argentina,30.18,0.7545,24.2,40,5,902.0,Fase 2,Octavos de Final
Esporte Clube Bahia,2018,Brasil,34.9,0.7270833333333333,23.1,48,2,1043.0,Fase 1,Cuartos de Final
CA Peñarol,2018,Uruguay,18.18,0.4545,24.0,40,4,456.0,Fase 2,Fase 2
Botafogo de Futebol e Regatas,2018,Brasil,32.8,0.7288888888888888,23.1,45,4,1043.0,Fase 1,Octavos de Final
Club Atlético Rosario Central,2018,Argentina,34.15,0.6567307692307692,23.8,52,9,902.0,Fase 1,Fase 1
Junior de Barranquilla,2018,Colombia,29.85,0.694186046511628,24.4,43,5,1028.0,Fase 2,Final
Club Nacional,2018,Uruguay,25.75,0.5988372093023255,24.7,43,6,456.0,Fase 2,Cuartos de Final
Millonarios FC,2018,Colombia,23.4,0.709090909090909,24.7,33,4,1028.0,Fase 2,Octavos de Final
CD América de Cali,2018,Colombia,23.45,0.45096153846153847,24.3,52,7,1028.0,Fase 1,Fase 1
LDU Quito,2018,Ecuador,17.25,0.5564516129032258,23.4,31,6,510.5,Fase 1,Octavos de Final
Barcelona SC Guayaquil,2018,Ecuador,23.95,0.7044117647058823,24.8,34,4,510.5,Fase 1,Fase 1
Independiente Santa Fe,2018,Colombia,26.23,0.6902631578947368,26.3,38,5,1028.0,Fase 2,Semifinales
Independiente Medellín,2018,Colombia,22.8,0.5560975609756098,23.4,41,4,1028.0,Fase 1,Fase 1
Deportivo Cali,2018,Colombia,19.58,0.40791666666666665,22.7,48,4,1028.0,Fase 1,Cuartos de Final
Bolívar La Paz,2018,Bolivia,7.53,0.2788888888888889,26.9,27,7,408.0,Fase 2,Fase 2
Unión Española,2018,Chile,10.4,0.2888888888888889,22.6,36,10,314.0,Fase 1,Fase 1
CD Everton,2018,Chile,8.85,0.2854838709677419,23.5,31,6,314.0,Fase 1,Fase 1
Audax Italiano,2018,Chile,7.65,0.225,23.8,34,6,314.0,Fase 1,Fase 1
Jaguares de Córdoba,2018,Colombia,15.98,0.38047619047619047,26.1,42,4,1028.0,Fase 1,Fase 1
Club Sol de América,2018,Paraguay,2.4,0.0923076923076923,25.7,26,5,697.0,Fase 1,Fase 2
Club Sporting Cristal,2018,Perú,6.98,0.2326666666666667,23.1,30,4,354.0,Fase 1,Fase 1
Club Deportivo Guabirá,2018,Bolivia,1.0,0.05,23.9,20,5,408.0,Fase 1,Fase 1
Club Nacional Asunción,2018,Paraguay,2.4,0.08888888888888889,25.6,27,3,697.0,Fase 1,Fase 2
Deportivo Cuenca,2018,Ecuador,7.78,0.2102702702702703,22.1,37,6,510.5,Fase 1,Octavos de Final
Club Jorge Wilstermann ,2018,Bolivia,3.0,0.13043478260869565,27.7,23,7,408.0,Fase 2,Fase 2
Sport Huancayo,2018,Perú,9.15,0.1989130434782609,25.9,46,7,354.0,Fase 1,Fase 2
Caracas FC,2018,Venezuela,8.75,0.21341463414634146,21.9,41,4,356.0,Fase 1,Octavos de Final
Club Atlético Boston River,2018,Uruguay,6.25,0.15625,23.2,40,4,456.0,Fase 1,Fase 2
Universidad Técnica de Cajamarca,2018,Perú,5.83,0.1821875,24.1,32,7,354.0,Fase 1,Fase 1
CA Nacional Potosí,2018,Bolivia,1.08,0.051428571428571435,28.0,21,9,408.0,Fase 1,Fase 1
Sportivo Luqueño,2018,Paraguay,2.1,0.1,26.5,21,4,697.0,Fase 1,Fase 1
Danubio FC,2018,Uruguay,10.35,0.2464285714285714,22.1,42,0,456.0,Fase 1,Fase 1
Defensor Sporting Club,2018,Uruguay,11.23,0.3208571428571429,23.0,35,3,456.0,Fase 2,Fase 2
Blooming Santa Cruz,2018,Bolivia,2.45,0.11666666666666667,26.1,21,6,408.0,Fase 1,Fase 1
Deportes Temuco,2018,Chile,7.23,0.20083333333333334,24.5,36,10,314.0,Fase 1,Fase 2
Club Atlético Cerro,2018,Uruguay,6.65,0.2078125,25.7,32,4,456.0,Fase 1,Fase 2
Zamora FC,2018,Venezuela,6.53,0.15186046511627907,21.4,43,3,356.0,Fase 1,Fase 1
Estudiantes de Mérida,2018,Venezuela,5.08,0.14514285714285716,23.6,35,3,356.0,Fase 1,Fase 1
Rampla Juniors FC,2018,Uruguay,7.5,0.1875,23.9,40,3,456.0,Fase 1,Fase 2
Mineros de Guayana,2018,Venezuela,7.05,0.16785714285714284,23.6,42,5,356.0,Fase 1,Fase 1
CD El Nacional,2018,Ecuador,13.0,0.38235294117647056,23.3,34,0,510.5,Fase 1,Fase 2
Club Deportivo San José Oruro,2018,Bolivia,2.0,0.1,29.0,20,7,408.0,Fase 1,Fase 1
Club General Díaz de Luque,2018,Paraguay,2.45,0.10208333333333335,26.0,24,3,697.0,Fase 1,Fase 2
Sport Rosario,2018,Perú,6.98,0.14851063829787234,22.7,47,6,354.0,Fase 1,Fase 1
Clube de Regatas do Flamengo,2017,Brasil,74.95,1.6655555555555557,24.2,45,7,1134.0,Fase 2,Final
Sport Club Corinthians Paulista,2017,Brasil,50.25,1.225609756097561,23.3,41,3,1134.0,Fase 1,Octavos de Final
Fluminense Football Club,2017,Brasil,40.4,0.8416666666666667,22.6,48,2,1134.0,Fase 1,Cuartos de Final
Club Atlético Independiente,2017,Argentina,114.83,2.343469387755102,24.8,49,8,902.0,Fase 1,Campeón
Racing Club,2017,Argentina,89.03,2.119761904761905,25.6,42,5,902.0,Fase 1,Cuartos de Final
Club Libertad Asunción,2017,Paraguay,9.18,0.286875,25.1,32,2,721.5,Fase 2,Semifinales
Club Estudiantes de La Plata,2017,Argentina,30.4,0.8216216216216216,25.0,37,5,902.0,Fase 2,Octavos de Final
Defensa y Justicia,2017,Argentina,31.28,0.7447619047619047,24.3,42,5,902.0,Fase 1,Fase 2
Club Cerro Porteño,2017,Paraguay,12.3,0.3967741935483871,25.0,31,6,721.5,Fase 1,Octavos de Final
Junior de Barranquilla,2017,Colombia,30.23,0.75575,25.6,40,4,918.0,Fase 2,Semifinales
Club Olimpia Asunción,2017,Paraguay,16.7,0.506060606060606,25.7,33,8,721.5,Fase 2,Fase 2
Club Atlético Huracán,2017,Argentina,36.18,1.0963636363636364,27.8,33,5,902.0,Fase 1,Fase 2
LDU Quito,2017,Ecuador,17.3,0.48055555555555557,23.7,36,6,640.0,Fase 1,Octavos de Final
Sport Club do Recife,2017,Brasil,37.3,0.9097560975609755,24.0,41,3,1134.0,Fase 1,Cuartos de Final
Independiente Santa Fe,2017,Colombia,27.13,0.7139473684210526,25.4,38,4,918.0,Fase 2,Octavos de Final
Club Atlético Tucumán,2017,Argentina,18.2,0.44390243902439025,26.8,41,5,902.0,Fase 2,Octavos de Final
Independiente Medellín,2017,Colombia,25.65,0.7124999999999999,25.5,36,4,918.0,Fase 2,Fase 2
Deportivo Cali,2017,Colombia,19.95,0.5391891891891891,23.6,37,4,918.0,Fase 1,Fase 2
Associação Chapecoense de Futebol,2017,Brasil,35.15,0.6892156862745098,23.9,51,5,1134.0,Fase 2,Octavos de Final
Associação Atlética Ponte Preta SP,2017,Brasil,37.25,0.7303921568627451,24.4,51,4,1134.0,Fase 1,Octavos de Final
Bolívar La Paz,2017,Bolivia,6.85,0.24464285714285713,26.0,28,7,439.0,Fase 1,Fase 2
CD Palestino,2017,Chile,12.03,0.2269811320754717,23.1,53,11,310.0,Fase 1,Fase 2
CD Universidad Católica,2017,Ecuador,13.08,0.3041860465116279,20.7,43,6,640.0,Fase 1,Fase 2
Club Sol de América,2017,Paraguay,6.33,0.23444444444444446,25.6,27,6,721.5,Fase 1,Fase 2
Club Nacional Asunción,2017,Paraguay,6.53,0.24185185185185187,26.1,27,3,721.5,Fase 1,Cuartos de Final
Club Deportivo Oriente Petrolero,2017,Bolivia,4.38,0.15642857142857142,23.5,28,8,439.0,Fase 1,Fase 2
Boyacá Patriotas FC,2017,Colombia,9.88,0.2744444444444445,23.5,36,6,918.0,Fase 1,Fase 2
Arsenal Fútbol Club,2017,Argentina,9.05,0.2207317073170732,23.1,41,5,902.0,Fase 1,Fase 2
Club Atlético Boston River,2017,Uruguay,7.28,0.17333333333333334,23.9,42,4,366.0,Fase 1,Fase 2
CA Nacional Potosí,2017,Bolivia,1.18,0.04214285714285714,28.4,28,8,439.0,Fase 1,Fase 2
Club Deportes Iquique,2017,Chile,9.4,0.21363636363636365,23.7,44,6,310.0,Fase 2,Fase 2
Fuerza Amarilla SC,2017,Ecuador,8.85,0.15,23.4,59,8,640.0,Fase 1,Fase 2
São Paulo Futebol Clube,2017,Brasil,92.23,1.7736538461538462,23.7,52,7,1134.0,Fase 1,Fase 1
Deportes Tolima,2017,Colombia,18.25,0.49324324324324326,24.6,37,3,918.0,Fase 1,Fase 1
Club de Gimnasia y Esgrima La Plata,2017,Argentina,18.08,0.39304347826086955,24.1,46,7,902.0,Fase 1,Fase 1
Universidad de Chile,2017,Chile,19.18,0.4359090909090909,23.9,44,7,310.0,Fase 1,Fase 1
Cruzeiro Esporte Clube,2017,Brasil,67.8,1.5409090909090908,24.1,44,6,1134.0,Fase 1,Fase 1
Liverpool FC Montevideo,2017,Uruguay,13.18,0.23535714285714285,23.0,56,1,366.0,Fase 1,Fase 1
CD Everton,2017,Chile,12.53,0.2557142857142857,22.9,49,12,310.0,Fase 1,Fase 1
Águilas Doradas,2017,Colombia,15.15,0.37875000000000003,25.1,40,9,918.0,Fase 1,Fase 1
Club Alianza Lima,2017,Perú,6.9,0.22258064516129034,23.4,31,5,325.0,Fase 1,Fase 1
Deportivo Cuenca,2017,Ecuador,10.9,0.3027777777777778,22.6,36,4,640.0,Fase 1,Fase 1
Sport Huancayo,2017,Perú,6.03,0.18272727272727274,26.5,33,6,325.0,Fase 1,Fase 1
Caracas FC,2017,Venezuela,11.55,0.2566666666666667,22.6,45,5,304.5,Fase 1,Fase 1
CD O'Higgins,2017,Chile,11.55,0.240625,22.6,48,11,310.0,Fase 1,Fase 1
Sportivo Luqueño,2017,Paraguay,3.43,0.1559090909090909,27.3,22,3,721.5,Fase 1,Fase 1
Danubio FC,2017,Uruguay,15.68,0.2750877192982456,22.8,57,7,366.0,Fase 1,Fase 1
Defensor Sporting Club,2017,Uruguay,10.5,0.28378378378378377,22.8,37,2,366.0,Fase 1,Fase 1
Club Juan Aurich,2017,Perú,6.75,0.1569767441860465,23.3,43,6,325.0,Fase 1,Fase 1
Atlético Venezuela,2017,Venezuela,9.03,0.18059999999999998,23.7,50,9,304.5,Fase 1,Fase 1
Comerciantes Unidos,2017,Perú,5.43,0.14675675675675676,24.8,37,6,325.0,Fase 1,Fase 1
Estudiantes de Caracas SC,2017,Venezuela,1.23,0.03727272727272727,22.5,33,1,304.5,Fase 1,Fase 1
Club Petrolero,2017,Bolivia,0.45,0.02142857142857143,26.9,21,6,439.0,Fase 1,Fase 1
Deportivo Anzoátegui SC,2017,Venezuela,6.8,0.17894736842105263,22.6,38,3,304.5,Fase 1,Fase 1
Club Cerro Porteño,2016,Paraguay,18.2,0.52,25.4,35,4,621.5,Fase 1,Semifinales
Independiente Santa Fe,2016,Colombia,29.25,0.5131578947368421,23.9,57,9,984.0,Octavos de Final,Octavos de Final
Clube de Regatas do Flamengo,2016,Brasil,65.0,1.7567567567567568,24.5,37,7,897.0,Fase 2,Octavos de Final
Club Atlético Lanús,2016,Argentina,42.7,1.094871794871795,25.0,39,6,901.0,Fase 2,Fase 2
Club Atlético Independiente,2016,Argentina,50.8,1.1043478260869564,24.9,46,7,901.0,Fase 2,Octavos de Final
Club Estudiantes de La Plata,2016,Argentina,49.48,0.9515384615384614,24.3,52,6,901.0,Fase 2,Fase 2
Club Atlético San Lorenzo de Almagro,2016,Argentina,61.58,1.1196363636363635,24.8,55,5,901.0,Fase 2,Semifinales
Club Atlético Banfield,2016,Argentina,17.58,0.5022857142857142,24.7,35,3,901.0,Fase 2,Fase 2
Atlético Nacional,2016,Colombia,30.08,0.5371428571428571,22.6,56,4,984.0,Fase 1,Final
Junior de Barranquilla,2016,Colombia,19.48,0.46380952380952384,24.6,42,4,984.0,Fase 1,Cuartos de Final
Cuiabá Esporte Clube (MT),2016,Brasil,2.25,0.1125,27.1,20,0,897.0,Fase 2,Fase 2
Sport Club do Recife,2016,Brasil,68.45,1.2915094339622641,24.5,53,5,897.0,Fase 2,Fase 2
CS Emelec,2016,Ecuador,29.55,0.73875,25.6,40,9,556.0,Fase 1,Fase 2
Independiente Medellín,2016,Colombia,15.63,0.47363636363636363,23.6,33,2,984.0,Fase 1,Cuartos de Final
Associação Chapecoense de Futebol,2016,Brasil,41.05,0.7330357142857142,26.1,56,1,897.0,Fase 2,Campeón
Coritiba Foot Ball Club,2016,Brasil,26.9,0.5274509803921569,23.4,51,6,897.0,Fase 2,Cuartos de Final
Bolívar La Paz,2016,Bolivia,8.68,0.263030303030303,26.0,33,10,390.0,Fase 1,Fase 2
CD Palestino,2016,Chile,15.45,0.32872340425531915,23.6,47,12,362.5,Fase 1,Cuartos de Final
Club Sol de América,2016,Paraguay,2.58,0.11217391304347826,24.2,23,2,621.5,Fase 1,Octavos de Final
Montevideo Wanderers,2016,Uruguay,13.75,0.3273809523809524,22.8,42,1,374.0,Fase 1,Octavos de Final
Sport Huancayo,2016,Perú,6.45,0.17432432432432432,25.6,37,7,340.0,Fase 1,Fase 2
Esporte Clube Vitória,2016,Brasil,26.6,0.6820512820512821,22.9,39,2,897.0,Fase 2,Fase 2
Cusco FC,2016,Perú,6.53,0.2040625,25.0,32,8,340.0,Fase 1,Fase 2
Sportivo Luqueño,2016,Paraguay,5.63,0.1481578947368421,25.8,38,5,621.5,Fase 1,Fase 2
Blooming Santa Cruz,2016,Bolivia,2.0,0.09523809523809523,26.7,21,6,390.0,Fase 1,Fase 2
Deportivo La Guaira,2016,Venezuela,7.08,0.1475,23.7,48,5,414.0,Fase 1,Octavos de Final
Club Atlético Belgrano,2016,Argentina,21.53,0.4680434782608696,24.9,46,1,901.0,Fase 2,Octavos de Final
Real Potosí,2016,Bolivia,1.58,0.045142857142857144,26.8,35,13,390.0,Fase 1,Fase 2
Zamora FC,2016,Venezuela,6.1,0.1564102564102564,23.2,39,6,414.0,Fase 1,Fase 2
Figueirense Futebol Clube,2016,Brasil,26.58,0.5906666666666667,24.0,45,2,897.0,Fase 2,Fase 2
Santa Cruz Futebol Clube (PE),2016,Brasil,24.25,0.5159574468085106,24.4,47,2,897.0,Fase 2,Octavos de Final
